200 simulations, 1000 steps.
Step	 DIST 
439	201.690767
440	202.508498
441	204.185650
442	204.329147
443	205.995514
444	206.003103
445	206.582890
446	208.649136
447	209.755240
448	209.950860
449	211.159704
450	211.244652
451	212.158564
452	214.003736
453	212.684458
454	214.442284
455	217.421354
456	218.252780
457	219.301934
458	219.317956
459	219.050364
460	219.532029
461	220.083849
462	220.853430
463	224.993707
464	224.217604
465	223.571748
466	226.676021
467	229.360662
468	230.036689
469	230.325241
470	229.675233
471	229.578694
472	230.121062
473	231.127115
474	233.663857
475	232.315357
476	230.691771
477	229.109470
478	229.349310
479	228.695224
480	228.420218
481	227.190942
482	227.882253
483	229.139787
484	230.121691
485	231.624559
486	230.900126
487	231.713443
488	233.470501
489	231.881552
490	231.812222
491	230.997905
492	232.144884
493	231.839712
494	232.433261
495	233.760520
496	233.513606
497	234.805348
498	234.261497
499	235.530148
500	234.232034
501	236.343851
502	235.200953
503	234.757964
504	234.422931
505	234.956178
506	233.577162
507	232.899035
508	233.450032
509	234.570192
510	235.238768
511	235.544774
512	234.975563
513	235.857512
514	237.686460
515	237.715547
516	238.141925
517	239.506710
518	239.738995
519	239.139861
520	239.757593
521	238.689162
522	237.538325
523	238.064725
524	238.115116
525	238.506937
526	238.383432
527	239.504624
528	240.679100
529	241.033216
530	240.630841
531	242.320396
532	241.378953
533	241.078598
534	242.618121
535	244.414695
536	245.215780
537	247.203744
538	248.523685
539	250.788082
540	250.931184
541	252.387834
542	251.918761
543	252.878506
544	252.921240
545	252.559106
546	252.707556
547	254.095360
548	254.066869
549	255.179825
550	255.866040
551	257.778046
552	258.199347
553	259.799409
554	262.271091
555	261.652621
556	261.634402
557	259.501580
558	257.054598
559	257.763927
560	258.217446
561	259.823785
562	262.791326
563	263.195062
564	263.691302
565	264.194608
566	265.104301
567	267.408409
568	268.365989
569	267.593447
570	268.663806
571	268.994167
572	270.960698
573	270.862102
574	271.177819
575	270.800869
576	271.336869
577	272.088013
578	272.266357
579	272.933663
580	273.355044
581	273.118871
582	273.672250
583	275.390126
584	275.902897
585	275.322069
586	274.691706
587	273.506610
588	274.027110
589	274.004483
590	275.261798
591	274.560038
592	273.279455
593	272.381265
594	271.073375
595	270.270538
596	270.702929
597	270.317422
598	272.421771
599	273.141239
600	273.778101
601	273.147691
602	273.291858
603	274.268554
604	275.130387
605	277.223508
606	278.806321
607	279.301273
608	280.977054
609	280.750284
610	283.273595
611	284.529713
612	285.062895
613	283.113438
614	284.299158
615	284.627266
616	285.740616
617	287.909367
618	289.677998
619	290.594070
620	289.852706
621	290.541114
622	289.590742
623	289.447749
624	288.920991
625	288.475182
626	288.171414
627	288.723339
628	288.264695
629	288.991631
630	290.933953
631	292.427167
632	293.628456
633	294.711572
634	296.316522
635	295.261543
636	293.956549
637	291.214843
638	291.901970
639	289.908885
640	288.693653
641	289.546811
642	292.407278
643	290.270838
644	288.855102
645	288.733970
646	290.887743
647	292.278534
648	293.671851
649	294.396492
650	294.927111
651	295.549874
652	295.665941
653	294.629928
654	293.628280
655	292.439605
656	292.486417
657	292.682736
658	290.580288
659	290.986882
660	290.086320
661	290.542295
662	290.078043
663	293.162713
664	293.990631
665	295.617826
666	296.631852
667	296.694484
668	297.430323
669	298.851683
670	299.601385
671	299.832189
672	301.819602
673	303.135494
674	303.077884
675	304.391355
676	306.208539
677	304.267792
678	303.873908
679	306.683302
680	306.739296
681	307.468826
682	307.298597
683	306.392274
684	307.090183
685	308.207818
686	309.847149
687	312.492887
688	313.491796
689	313.780322
690	314.447658
691	315.613100
692	315.845140
693	317.012170
694	315.618536
695	317.866965
696	317.563721
697	317.149770
698	318.554842
699	317.971639
700	317.178673
701	318.466907
702	320.688332
703	322.606767
704	321.492818
705	323.449167
706	324.806042
707	324.372298
708	324.153297
709	324.528894
710	325.570069
711	325.420094
712	326.241684
713	329.710205
714	330.706533
715	330.460969
716	331.447859
717	332.384389
718	333.277673
719	333.737659
720	335.520783
721	337.333655
722	336.451907
723	338.369731
724	339.913323
725	338.998755
726	339.410240
727	340.858750
728	342.220205
729	342.822453
730	342.655152
731	342.567862
732	342.273822
733	343.912661
734	344.319977
735	345.833658
736	345.771422
737	345.456094
738	347.135588
739	345.224109
740	346.582547
741	347.337497
742	346.748409
743	346.250113
744	349.351636
745	348.423405
746	348.694009
747	348.736114
748	348.535139
749	347.067914
750	347.188538
751	345.432987
752	343.471121
753	343.019819
754	342.152259
755	342.986264
756	342.623287
757	344.416177
758	345.395222
759	346.377899
760	348.435840
761	347.656417
762	349.414469
763	349.584615
764	349.242053
765	349.724733
766	350.373103
767	350.989615
768	348.830000
769	348.697587
770	350.038124
771	349.776809
772	347.211359
773	348.384153
774	347.381803
775	348.069581
776	349.122303
777	351.715967
778	351.918588
779	352.215073
780	354.314702
781	355.324977
782	357.070586
783	357.448417
784	359.752540
785	361.868588
786	361.696352
787	361.684147
788	360.953936
789	363.051227
790	364.839701
791	366.407159
792	364.686695
793	367.613920
794	367.887855
795	368.362431
796	369.607221
797	370.358412
798	372.808328
799	373.601488
800	374.034071
801	378.435807
802	377.003567
803	379.540603
804	381.456293
805	383.303072
806	382.871411
807	380.470987
808	379.263707
809	380.237304
810	379.223537
811	379.225238
812	379.532904
813	377.652790
814	377.398968
815	378.100325
816	378.859986
817	378.429266
818	379.443160
819	379.228474
820	379.838117
821	379.157021
822	378.721185
823	379.741954
824	381.754258
825	380.734364
826	380.466169
827	382.195985
828	380.826700
829	381.028447
830	383.065756
831	383.632840
832	383.723800
833	384.766851
834	384.449866
835	384.436546
836	382.224683
837	385.900423
838	383.527285
839	383.463475
840	387.120934
841	388.853352
842	388.750108
843	388.270401
844	388.724428
845	387.776672
846	387.655123
847	384.822379
848	388.412529
849	388.903520
850	387.002308
851	387.713717
852	386.233443
853	386.152422
854	383.560726
855	382.290282
856	381.379325
857	380.974193
858	380.962680
859	381.861561
860	381.838997
861	385.701545
862	384.456588
863	387.436571
864	388.041282
865	388.812947
866	391.155447
867	393.168059
868	395.507760
869	396.379189
870	398.249292
871	398.402925
872	401.257147
873	401.803025
874	399.109211
875	397.466364
876	398.762463
877	399.013503
878	399.788441
879	399.515960
880	399.864036
881	401.936939
882	402.099968
883	404.623551
884	403.683912
885	403.150898
886	405.196096
887	403.292063
888	403.826029
889	403.418301
890	402.973494
891	404.942311
892	406.223765
893	408.903787
894	408.111619
895	410.157695
896	409.463011
897	408.909390
898	409.047740
899	410.205832
900	410.319175
901	413.017074
902	413.079394
903	415.780891
904	416.807243
905	419.193978
906	419.036048
907	419.232831
908	423.603115
909	424.953036
910	428.730785
911	429.046207
912	427.525521
913	429.914458
914	429.856109
915	431.779511
916	430.833076
917	429.701005
918	429.060746
919	434.258848
920	435.943975
921	436.430480
922	436.783539
923	436.366286
924	437.925905
925	438.170936
926	440.746207
927	442.672271
928	442.628311
929	444.394885
930	444.634903
931	445.463334
932	445.745283
933	444.032339
934	443.644474
935	442.824918
936	442.073625
937	443.374596
938	443.411246
939	444.291035
940	445.725994
941	448.619116
942	448.187363
943	450.228661
944	452.134094
945	452.942405
946	455.332505
947	456.607527
948	457.918615
949	458.142272
950	458.373236
951	459.388981
952	459.270182
953	459.915525
954	462.634471
955	462.318394
956	462.159363
957	460.868232
958	461.111315
959	463.411578
960	463.143524
961	464.922359
962	464.850850
963	466.771597
964	468.861990
965	471.019236
966	470.894738
967	471.972977
968	474.220067
969	473.625634
970	474.059389
971	475.966637
972	478.288233
973	476.411066
974	478.183761
975	478.827106
976	477.844917
977	478.120540
978	478.337819
979	478.900579
980	477.241157
981	478.131103
982	479.652819
983	478.840170
984	477.109684
985	479.932481
986	478.821105
987	481.224161
988	480.454997
989	482.579084
990	481.804411
991	483.225523
992	488.077923
993	486.910536
994	487.291816
995	486.612843
996	488.098017
997	488.925077
998	489.914908
999	490.560246
