1 = STABLE_STATE, 0 = EXCITED_STATE
Step	 X 	 Y 	 d 	 state 
156	-0.2348	0.5206	0.5711	1
157	0.2255	0.3254	0.3959	1
158	0.2255	0.3254	0.3959	1
159	0.2309	-0.1746	0.2895	1
160	0.4966	0.2490	0.5555	1
161	0.9767	0.3887	1.0512	0
162	1.1583	0.8545	1.4394	0
163	1.1583	0.8545	1.4394	0
164	1.1583	0.8545	1.4394	0
165	1.6214	1.0430	1.9279	0
166	1.1322	1.1461	1.6110	0
167	1.2881	0.6710	1.4524	0
168	1.2881	0.6710	1.4524	0
169	1.5185	1.1148	1.8838	0
170	1.4021	0.6285	1.5366	0
171	1.4021	0.6285	1.5366	0
172	1.5449	1.1077	1.9010	0
173	1.5449	1.1077	1.9010	0
174	1.5449	1.1077	1.9010	0
175	1.1063	0.8676	1.4059	0
176	1.1766	0.3725	1.2342	0
177	1.1766	0.3725	1.2342	0
178	0.8029	0.7046	1.0682	0
179	0.3706	0.9559	1.0253	0
180	0.7562	0.6377	0.9892	0
181	0.3051	0.8534	0.9063	0
182	-0.0675	0.5199	0.5243	1
183	-0.5152	0.2974	0.5949	1
184	-0.2838	-0.1458	0.3191	1
185	0.2049	-0.0404	0.2088	1
186	0.2049	-0.0404	0.2088	1
187	-0.2945	-0.0161	0.2949	1
188	-0.2945	-0.0161	0.2949	1
189	0.1560	0.2008	0.2543	1
190	-0.2700	-0.0609	0.2768	1
191	0.1384	-0.3494	0.3758	1
192	-0.2995	-0.5908	0.6624	1
193	-0.5165	-0.1403	0.5353	1
194	-0.1500	-0.4804	0.5033	1
195	-0.0515	0.0098	0.0524	1
196	-0.0515	0.0098	0.0524	1
197	-0.0515	0.0098	0.0524	1
198	-0.0515	0.0098	0.0524	1
199	-0.0515	0.0098	0.0524	1
200	-0.0515	0.0098	0.0524	1
201	-0.0715	-0.4898	0.4950	1
202	-0.1748	-0.0006	0.1748	1
203	-0.1748	-0.0006	0.1748	1
204	-0.1748	-0.0006	0.1748	1
205	-0.1748	-0.0006	0.1748	1
206	-0.4451	-0.4212	0.6128	1
207	-0.3640	-0.9146	0.9844	0
208	-0.0674	-1.3171	1.3188	0
209	0.4240	-1.2250	1.2963	0
210	0.6154	-1.6869	1.7956	0
211	0.1223	-1.7695	1.7738	0
212	0.1223	-1.7695	1.7738	0
213	-0.1799	-1.3712	1.3830	0
214	0.3197	-1.3896	1.4259	0
215	0.3865	-0.8941	0.9740	0
216	-0.0504	-1.1372	1.1383	0
217	0.4235	-0.9777	1.0655	0
218	0.7657	-1.3423	1.5453	0
219	0.7676	-1.8423	1.9958	0
220	0.7676	-1.8423	1.9958	0
221	0.7676	-1.8423	1.9958	0
222	0.7676	-1.8423	1.9958	0
223	0.2703	-1.7900	1.8103	0
224	0.5439	-1.3715	1.4754	0
225	0.5439	-1.3715	1.4754	0
226	1.0392	-1.3029	1.6666	0
227	1.0392	-1.3029	1.6666	0
228	1.2534	-0.8511	1.5151	0
229	0.9987	-0.4209	1.0838	0
230	0.6985	-0.8208	1.0778	0
231	0.7756	-1.3148	1.5265	0
232	0.2905	-1.4357	1.4648	0
233	0.2905	-1.4357	1.4648	0
234	0.2905	-1.4357	1.4648	0
235	0.2905	-1.4357	1.4648	0
236	0.0890	-0.9781	0.9821	0
237	0.2773	-1.4413	1.4677	0
238	0.6457	-1.1032	1.2783	0
239	1.1170	-0.9364	1.4576	0
240	0.7071	-0.6502	0.9605	0
241	0.3216	-0.3317	0.4620	1
242	0.1307	0.1304	0.1847	1
243	0.1307	0.1304	0.1847	1
244	0.1307	0.1304	0.1847	1
245	-0.2131	-0.2326	0.3154	1
246	0.2861	-0.2607	0.3871	1
247	0.1079	-0.7279	0.7358	0
248	0.4051	-1.1300	1.2004	0
249	0.6562	-1.5624	1.6945	0
250	0.8796	-1.1151	1.4203	0
251	0.8318	-0.6174	1.0359	0
252	0.4212	-0.9028	0.9962	0
253	0.8954	-1.0614	1.3886	0
254	0.8420	-0.5643	1.0136	0
255	0.8420	-0.5643	1.0136	0
256	0.3436	-0.5234	0.6261	1
257	0.6717	-0.9008	1.1236	0
258	0.3501	-0.5179	0.6251	1
259	0.8318	-0.6518	1.0568	0
260	1.1031	-1.0718	1.5381	0
261	1.1633	-0.5754	1.2978	0
262	1.1183	-0.0774	1.1210	0
263	0.9862	0.4048	1.0660	0
264	0.5197	0.2249	0.5663	1
265	0.6768	-0.2498	0.7215	0
266	1.1676	-0.3457	1.2177	0
267	1.3709	-0.8025	1.5885	0
268	1.3709	-0.8025	1.5885	0
269	1.3709	-0.8025	1.5885	0
270	1.7628	-0.4920	1.8302	0
271	1.3387	-0.2271	1.3578	0
272	1.6638	0.1528	1.6708	0
273	1.4752	-0.3103	1.5075	0
274	0.9779	-0.2583	1.0114	0
275	1.3115	0.1141	1.3164	0
276	1.3115	0.1141	1.3164	0
277	1.7098	0.4163	1.7598	0
278	1.7098	0.4163	1.7598	0
279	1.5713	-0.0641	1.5726	0
280	1.0820	-0.1670	1.0948	0
281	0.6183	-0.3538	0.7123	0
282	0.1189	-0.3788	0.3970	1
283	0.1189	-0.3788	0.3970	1
284	0.4912	-0.0451	0.4933	1
285	0.9781	-0.1588	0.9910	0
286	0.4786	-0.1792	0.5110	1
287	0.6231	0.2995	0.6913	1
288	1.1231	0.2958	1.1614	0
289	0.8781	0.7317	1.1430	0
290	0.3906	0.8428	0.9289	0
291	0.7112	0.4590	0.8464	0
292	0.7112	0.4590	0.8464	0
293	1.1353	0.7238	1.3464	0
294	1.4798	0.3614	1.5233	0
295	1.4798	0.3614	1.5233	0
296	0.9808	0.3301	1.0348	0
297	1.4130	0.5814	1.5280	0
298	1.1912	0.1333	1.1986	0
299	1.1912	0.1333	1.1986	0
300	0.9708	-0.3155	1.0208	0
301	1.0015	0.1835	1.0182	0
302	0.5015	0.1897	0.5362	1
303	0.1548	0.5499	0.5713	1
304	0.2932	1.0304	1.0713	0
305	-0.0504	1.3936	1.3945	0
306	-0.0504	1.3936	1.3945	0
307	-0.5426	1.3061	1.4143	0
308	-0.0464	1.3673	1.3681	0
309	-0.0464	1.3673	1.3681	0
310	-0.4272	1.0433	1.1274	0
311	0.0728	1.0435	1.0460	0
312	0.4800	1.3337	1.4174	0
313	0.1779	1.7321	1.7412	0
314	-0.1339	1.3412	1.3479	0
315	-0.1339	1.3412	1.3479	0
316	-0.6126	1.4855	1.6069	0
317	-1.0853	1.3226	1.7109	0
318	-1.5394	1.1133	1.8997	0
319	-1.0394	1.1189	1.5272	0
320	-0.5860	0.9081	1.0808	0
321	-0.2807	1.3041	1.3340	0
322	0.1920	1.1410	1.1571	0
323	0.1920	1.1410	1.1571	0
324	0.6532	0.9479	1.1512	0
325	0.6532	0.9479	1.1512	0
326	1.1494	1.0092	1.5296	0
327	1.3862	0.5688	1.4983	0
328	1.3773	0.0689	1.3790	0
329	1.6547	-0.3472	1.6907	0
330	1.9888	0.0249	1.9889	0
331	1.4891	0.0446	1.4898	0
332	1.9122	-0.2219	1.9250	0
333	1.9122	-0.2219	1.9250	0
334	1.9122	-0.2219	1.9250	0
335	1.9122	-0.2219	1.9250	0
336	1.9122	-0.2219	1.9250	0
337	1.4132	-0.1898	1.4259	0
338	1.1298	-0.6017	1.2800	0
339	1.1298	-0.6017	1.2800	0
340	1.4330	-0.2042	1.4475	0
341	1.5466	-0.6911	1.6940	0
342	1.5466	-0.6911	1.6940	0
343	1.0683	-0.8368	1.3570	0
344	0.6272	-1.0721	1.2421	0
345	0.6272	-1.0721	1.2421	0
346	0.9195	-1.4778	1.7405	0
347	0.9526	-0.9789	1.3659	0
348	1.2816	-0.6024	1.4161	0
349	1.6732	-0.2914	1.6984	0
350	1.4072	0.1319	1.4134	0
351	1.4072	0.1319	1.4134	0
352	1.1132	-0.2725	1.1461	0
353	1.1132	-0.2725	1.1461	0
354	1.4071	0.1320	1.4133	0
355	1.8784	-0.0350	1.8788	0
356	1.7414	0.4459	1.7976	0
357	1.7414	0.4459	1.7976	0
358	1.6604	0.9393	1.9077	0
359	1.3933	1.3619	1.9484	0
360	1.0337	1.0145	1.4484	0
361	1.0337	1.0145	1.4484	0
362	1.0337	1.0145	1.4484	0
363	1.4802	1.2396	1.9307	0
364	1.4802	1.2396	1.9307	0
365	1.2556	0.7929	1.4850	0
366	1.2556	0.7929	1.4850	0
367	1.2556	0.7929	1.4850	0
368	1.2556	0.7929	1.4850	0
369	0.7662	0.6904	1.0314	0
370	0.2929	0.8516	0.9005	0
371	0.1326	0.3780	0.4005	1
372	-0.2796	0.0949	0.2953	1
373	0.2089	-0.0118	0.2092	1
374	0.0144	0.4488	0.4490	1
375	0.5128	0.4884	0.7082	0
376	0.4850	-0.0108	0.4852	1
377	-0.0109	0.0532	0.0543	1
378	-0.0109	0.0532	0.0543	1
379	-0.0109	0.0532	0.0543	1
380	-0.4919	0.1896	0.5272	1
381	-0.1765	-0.1984	0.2655	1
382	-0.1765	-0.1984	0.2655	1
383	0.1125	0.2096	0.2379	1
384	0.3989	-0.2003	0.4463	1
385	0.4656	-0.6958	0.8372	0
386	-0.0236	-0.7993	0.7997	0
387	0.4351	-0.9983	1.0890	0
388	0.9282	-0.9158	1.3039	0
389	0.9282	-0.9158	1.3039	0
390	0.9282	-0.9158	1.3039	0
391	1.3719	-0.6852	1.5335	0
392	0.8735	-0.7254	1.1354	0
393	0.6217	-1.1573	1.3137	0
394	0.1506	-0.9896	1.0010	0
395	0.5901	-1.2281	1.3625	0
396	0.9800	-0.9151	1.3408	0
397	0.6177	-1.2597	1.4029	0
398	0.1199	-1.3064	1.3119	0
399	0.2785	-0.8323	0.8776	0
400	-0.1746	-0.6209	0.6449	1
401	0.0758	-0.1881	0.2028	1
402	0.0013	-0.6825	0.6825	1
403	0.4427	-0.4477	0.6296	1
404	0.2284	-0.8994	0.9280	0
405	-0.2293	-0.6982	0.7348	0
406	-0.3978	-0.2274	0.4582	1
407	-0.3346	0.2686	0.4291	1
408	0.0333	0.6071	0.6080	1
409	-0.3726	0.8990	0.9732	0
410	-0.4148	0.4008	0.5768	1
411	-0.0520	0.0567	0.0770	1
412	-0.0520	0.0567	0.0770	1
413	-0.0520	0.0567	0.0770	1
414	-0.0520	0.0567	0.0770	1
415	0.2820	-0.3153	0.4230	1
416	0.3139	-0.8143	0.8727	0
417	-0.1740	-0.9234	0.9397	0
418	0.1099	-1.3350	1.3395	0
419	-0.3796	-1.4367	1.4860	0
420	-0.4253	-0.9388	1.0306	0
421	-0.4253	-0.9388	1.0306	0
422	-0.0506	-1.2698	1.2708	0
423	-0.5373	-1.3843	1.4849	0
424	-0.5373	-1.3843	1.4849	0
425	-0.8074	-0.9635	1.2571	0
426	-0.8074	-0.9635	1.2571	0
427	-0.7291	-0.4697	0.8673	0
428	-1.2182	-0.3660	1.2720	0
429	-1.2182	-0.3660	1.2720	0
430	-1.2182	-0.3660	1.2720	0
431	-1.1210	0.1245	1.1279	0
432	-0.7305	0.4367	0.8511	0
433	-0.2513	0.5795	0.6317	1
434	-0.1107	0.0997	0.1490	1
435	0.0575	-0.3712	0.3756	1
436	-0.2709	-0.7482	0.7957	0
437	0.2189	-0.6478	0.6838	1
438	0.6774	-0.4482	0.8122	0
439	0.6176	-0.9446	1.1285	0
440	0.3833	-1.3863	1.4383	0
441	0.3833	-1.3863	1.4383	0
442	0.3833	-1.3863	1.4383	0
443	0.5380	-0.9108	1.0579	0
444	0.2467	-0.5045	0.5616	1
445	0.7416	-0.5754	0.9387	0
446	1.1669	-0.3125	1.2081	0
447	1.1669	-0.3125	1.2081	0
448	1.2293	-0.8086	1.4714	0
449	0.7572	-0.9734	1.2332	0
450	0.2618	-1.0410	1.0735	0
451	0.3170	-0.5441	0.6297	1
452	-0.1571	-0.7028	0.7202	0
453	-0.6501	-0.7865	1.0204	0
454	-0.9493	-0.3860	1.0248	0
455	-0.7033	0.0493	0.7050	0
456	-1.0684	0.3909	1.1377	0
457	-1.0684	0.3909	1.1377	0
458	-0.5735	0.3198	0.6567	1
459	-0.0743	0.3478	0.3557	1
460	0.3455	0.0762	0.3538	1
461	0.8449	0.0522	0.8465	0
462	0.6767	0.5231	0.8553	0
463	0.2243	0.7359	0.7693	0
464	-0.1834	0.4464	0.4826	1
465	0.2411	0.7106	0.7504	0
466	0.1868	1.2076	1.2220	0
467	0.1868	1.2076	1.2220	0
468	0.5224	0.8370	0.9866	0
469	0.9459	1.1028	1.4528	0
470	0.6424	1.5001	1.6319	0
471	0.6424	1.5001	1.6319	0
472	0.6424	1.5001	1.6319	0
473	0.6913	1.0025	1.2178	0
474	0.8729	1.4684	1.7083	0
475	1.2584	1.1499	1.7046	0
476	1.3476	0.6579	1.4996	0
477	1.3476	0.6579	1.4996	0
478	1.1114	0.2172	1.1325	0
479	1.1114	0.2172	1.1325	0
480	0.6250	0.3330	0.7082	0
481	0.9231	-0.0685	0.9256	0
482	0.4582	0.1156	0.4726	1
483	0.5201	-0.3806	0.6444	1
484	0.2406	-0.7952	0.8308	0
485	0.5551	-1.1839	1.3076	0
486	0.5551	-1.1839	1.3076	0
