Simulated by ISING, VERSION 1
filename = result_of_ISING_1
step = 1500000
mutual_coefficient = 1
temperature = 1
STEP	MAGNETISM	ENERGY	1ST_STD_ERROR	2ND_STD_ERROR
207	4733	-5288	0	0
208	4733	-5288	0	0
209	4733	-5288	0	0
210	4731	-5288	0	0
211	4731	-5288	0	0
212	4731	-5288	0	0
213	4731	-5288	0	0
214	4731	-5288	0	0
215	4731	-5288	0	0
216	4731	-5288	0	0
217	4731	-5288	0	0
218	4731	-5288	0	0
219	4731	-5288	0	0
220	4729	-5292	0	0
221	4729	-5292	0	0
222	4727	-5298	0	0
223	4727	-5298	0	0
224	4727	-5298	0	0
225	4727	-5298	0	0
226	4727	-5298	0	0
227	4727	-5298	0	0
228	4727	-5298	0	0
229	4725	-5306	0	0
230	4725	-5306	0	0
231	4725	-5306	0	0
232	4725	-5306	0	0
233	4725	-5306	0	0
234	4723	-5312	0	0
235	4721	-5312	0	0
236	4721	-5312	0	0
237	4719	-5316	0	0
238	4719	-5316	0	0
239	4717	-5324	0	0
240	4717	-5324	0	0
241	4715	-5326	0	0
242	4713	-5328	0	0
243	4713	-5328	0	0
244	4713	-5328	0	0
245	4713	-5328	0	0
246	4713	-5328	0	0
247	4711	-5334	0	0
248	4711	-5334	0	0
249	4711	-5334	0	0
250	4711	-5334	0	0
251	4709	-5338	0	0
252	4709	-5338	0	0
253	4707	-5344	0	0
254	4707	-5344	0	0
255	4705	-5352	0	0
256	4705	-5352	0	0
257	4705	-5352	0	0
258	4705	-5352	0	0
259	4705	-5352	0	0
260	4705	-5352	0	0
261	4705	-5352	0	0
262	4703	-5356	0	0
263	4703	-5356	0	0
264	4703	-5356	0	0
265	4705	-5356	0	0
266	4703	-5364	0	0
267	4703	-5364	0	0
268	4701	-5368	0	0
269	4701	-5368	0	0
270	4701	-5368	0	0
271	4699	-5372	0	0
272	4699	-5372	0	0
273	4697	-5376	0	0
274	4695	-5380	0	0
275	4693	-5384	0	0
276	4691	-5386	0	0
277	4689	-5392	0	0
278	4689	-5392	0	0
279	4687	-5392	0	0
280	4687	-5392	0	0
281	4685	-5398	0	0
282	4685	-5398	0	0
283	4683	-5398	0	0
284	4681	-5406	0	0
285	4681	-5406	0	0
286	4681	-5406	0	0
287	4681	-5406	0	0
288	4679	-5408	0	0
289	4677	-5410	0	0
290	4675	-5412	0	0
291	4675	-5412	0	0
292	4675	-5412	0	0
293	4673	-5416	0	0
294	4671	-5416	0	0
295	4671	-5416	0	0
296	4669	-5422	0	0
297	4667	-5424	0	0
298	4667	-5424	0	0
299	4667	-5424	0	0
300	4665	-5428	0	0
301	4663	-5434	0	0
302	4663	-5434	0	0
303	4661	-5436	0	0
304	4659	-5438	0	0
305	4657	-5440	0	0
306	4655	-5440	0	0
307	4653	-5444	0	0
308	4653	-5444	0	0
309	4653	-5444	0	0
310	4651	-5452	0	0
311	4649	-5458	0	0
312	4647	-5458	0	0
313	4647	-5458	0	0
314	4645	-5462	0	0
315	4645	-5462	0	0
316	4643	-5466	0	0
317	4643	-5466	0	0
318	4641	-5472	0	0
319	4639	-5474	0	0
320	4639	-5474	0	0
321	4637	-5476	0	0
322	4637	-5476	0	0
323	4637	-5476	0	0
324	4635	-5478	0	0
325	4633	-5482	0	0
326	4631	-5486	0	0
327	4631	-5486	0	0
328	4631	-5486	0	0
329	4629	-5490	0	0
330	4629	-5490	0	0
331	4627	-5492	0	0
332	4625	-5494	0	0
333	4623	-5498	0	0
334	4623	-5498	0	0
335	4623	-5498	0	0
336	4621	-5502	0	0
337	4621	-5502	0	0
338	4621	-5502	0	0
339	4621	-5502	0	0
340	4621	-5502	0	0
341	4621	-5502	0	0
342	4621	-5502	0	0
343	4621	-5502	0	0
344	4621	-5502	0	0
345	4621	-5502	0	0
346	4621	-5502	0	0
347	4621	-5502	0	0
348	4619	-5506	0	0
349	4617	-5506	0	0
350	4617	-5506	0	0
351	4615	-5508	0	0
352	4613	-5516	0	0
353	4611	-5520	0	0
354	4609	-5522	0	0
355	4607	-5528	0	0
356	4605	-5530	0	0
357	4603	-5532	0	0
358	4603	-5532	0	0
359	4603	-5532	0	0
360	4603	-5532	0	0
361	4603	-5532	0	0
362	4601	-5534	0	0
363	4601	-5534	0	0
364	4599	-5540	0	0
365	4597	-5546	0	0
366	4597	-5546	0	0
367	4599	-5546	0	0
368	4599	-5546	0	0
369	4597	-5552	0	0
370	4595	-5556	0	0
371	4593	-5556	0	0
372	4591	-5564	0	0
373	4591	-5564	0	0
374	4591	-5564	0	0
375	4589	-5568	0	0
376	4589	-5568	0	0
377	4587	-5570	0	0
378	4585	-5572	0	0
379	4583	-5576	0	0
380	4583	-5576	0	0
381	4581	-5580	0	0
382	4579	-5580	0	0
383	4579	-5580	0	0
384	4579	-5580	0	0
385	4579	-5580	0	0
386	4579	-5580	0	0
387	4577	-5582	0	0
388	4575	-5582	0	0
389	4573	-5584	0	0
390	4571	-5586	0	0
391	4569	-5590	0	0
392	4569	-5590	0	0
393	4567	-5590	0	0
394	4567	-5590	0	0
395	4565	-5594	0	0
396	4565	-5594	0	0
397	4563	-5598	0	0
398	4561	-5604	0	0
399	4561	-5604	0	0
400	4559	-5606	0	0
401	4559	-5606	0	0
402	4559	-5606	0	0
403	4557	-5612	0	0
404	4555	-5616	0	0
405	4553	-5622	0	0
406	4551	-5626	0	0
407	4551	-5626	0	0
408	4551	-5626	0	0
409	4551	-5626	0	0
410	4549	-5628	0	0
411	4549	-5628	0	0
412	4549	-5628	0	0
413	4547	-5630	0	0
414	4547	-5630	0	0
415	4545	-5632	0	0
416	4543	-5634	0	0
417	4543	-5634	0	0
418	4541	-5636	0	0
419	4539	-5638	0	0
420	4537	-5646	0	0
421	4537	-5646	0	0
422	4535	-5648	0	0
423	4535	-5648	0	0
424	4535	-5648	0	0
425	4533	-5650	0	0
426	4533	-5650	0	0
427	4531	-5654	0	0
428	4531	-5654	0	0
429	4531	-5654	0	0
430	4529	-5656	0	0
431	4527	-5660	0	0
432	4527	-5660	0	0
433	4525	-5662	0	0
434	4525	-5662	0	0
435	4525	-5662	0	0
436	4525	-5662	0	0
437	4525	-5662	0	0
438	4525	-5662	0	0
439	4525	-5662	0	0
440	4523	-5668	0	0
441	4521	-5674	0	0
442	4519	-5678	0	0
443	4519	-5678	0	0
444	4517	-5684	0	0
445	4517	-5684	0	0
446	4515	-5686	0	0
447	4513	-5686	0	0
448	4513	-5686	0	0
449	4513	-5686	0	0
450	4513	-5686	0	0
451	4513	-5686	0	0
452	4511	-5692	0	0
453	4511	-5692	0	0
454	4511	-5692	0	0
455	4511	-5692	0	0
456	4509	-5694	0	0
457	4507	-5700	0	0
458	4507	-5700	0	0
459	4507	-5700	0	0
460	4505	-5702	0	0
461	4503	-5704	0	0
462	4501	-5706	0	0
463	4499	-5714	0	0
464	4499	-5714	0	0
465	4499	-5714	0	0
466	4499	-5714	0	0
467	4499	-5714	0	0
468	4497	-5720	0	0
469	4497	-5720	0	0
470	4497	-5720	0	0
471	4497	-5720	0	0
472	4495	-5724	0	0
473	4495	-5724	0	0
474	4495	-5724	0	0
475	4495	-5724	0	0
476	4495	-5724	0	0
477	4493	-5730	0	0
478	4491	-5736	0	0
479	4489	-5744	0	0
480	4489	-5744	0	0
481	4489	-5744	0	0
482	4487	-5746	0	0
483	4487	-5746	0	0
484	4485	-5750	0	0
485	4483	-5752	0	0
486	4483	-5752	0	0
487	4483	-5752	0	0
488	4481	-5756	0	0
489	4479	-5756	0	0
490	4477	-5762	0	0
491	4477	-5762	0	0
492	4477	-5762	0	0
493	4475	-5766	0	0
494	4475	-5766	0	0
495	4475	-5766	0	0
496	4475	-5766	0	0
497	4473	-5770	0	0
498	4471	-5776	0	0
499	4469	-5778	0	0
500	4469	-5778	0	0
501	4467	-5780	0	0
502	4465	-5786	0	0
503	4463	-5790	0	0
504	4461	-5792	0	0
505	4459	-5794	0	0
506	4457	-5798	0	0
507	4457	-5798	0	0
508	4457	-5798	0	0
509	4457	-5798	0	0
510	4457	-5798	0	0
511	4457	-5798	0	0
512	4455	-5802	0	0
513	4455	-5802	0	0
514	4455	-5802	0	0
515	4455	-5802	0	0
516	4455	-5802	0	0
517	4455	-5802	0	0
518	4455	-5802	0	0
519	4455	-5802	0	0
520	4455	-5802	0	0
521	4455	-5802	0	0
522	4453	-5808	0	0
523	4453	-5808	0	0
524	4451	-5810	0	0
525	4449	-5814	0	0
526	4449	-5814	0	0
527	4447	-5814	0	0
528	4445	-5816	0	0
529	4445	-5816	0	0
530	4443	-5818	0	0
531	4441	-5818	0	0
532	4439	-5826	0	0
533	4437	-5832	0	0
534	4437	-5832	0	0
535	4435	-5838	0	0
536	4435	-5838	0	0
537	4433	-5842	0	0
538	4433	-5842	0	0
539	4433	-5842	0	0
540	4431	-5848	0	0
541	4431	-5848	0	0
542	4429	-5850	0	0
543	4429	-5850	0	0
544	4427	-5856	0	0
545	4425	-5860	0	0
546	4423	-5866	0	0
547	4421	-5870	0	0
548	4419	-5874	0	0
549	4419	-5874	0	0
550	4417	-5874	0	0
551	4415	-5874	0	0
552	4413	-5878	0	0
553	4411	-5882	0	0
554	4409	-5890	0	0
555	4407	-5894	0	0
556	4407	-5894	0	0
557	4405	-5898	0	0
558	4403	-5898	0	0
559	4403	-5898	0	0
560	4401	-5906	0	0
561	4399	-5910	0	0
562	4397	-5916	0	0
563	4395	-5920	0	0
564	4393	-5924	0	0
565	4393	-5924	0	0
566	4391	-5926	0	0
567	4391	-5926	0	0
568	4389	-5930	0	0
569	4389	-5930	0	0
570	4387	-5934	0	0
571	4387	-5934	0	0
572	4385	-5940	0	0
573	4383	-5944	0	0
574	4383	-5944	0	0
575	4381	-5946	0	0
576	4379	-5948	0	0
577	4377	-5952	0	0
578	4377	-5952	0	0
579	4377	-5952	0	0
580	4377	-5952	0	0
581	4377	-5952	0	0
582	4375	-5956	0	0
583	4373	-5964	0	0
584	4373	-5964	0	0
585	4371	-5970	0	0
586	4369	-5974	0	0
587	4369	-5974	0	0
588	4369	-5974	0	0
589	4367	-5976	0	0
590	4367	-5976	0	0
591	4367	-5976	0	0
592	4367	-5976	0	0
593	4367	-5976	0	0
594	4367	-5976	0	0
595	4367	-5976	0	0
596	4365	-5978	0	0
597	4363	-5980	0	0
598	4361	-5984	0	0
599	4359	-5984	0	0
600	4359	-5984	0	0
601	4359	-5984	0	0
602	4359	-5984	0	0
603	4359	-5984	0	0
604	4357	-5986	0	0
605	4357	-5986	0	0
606	4355	-5992	0	0
