Simulated by ISING, VERSION 1
filename = result_of_ISING_0.5
step = 1500000
mutual_coefficient = 1
temperature = 0.5
STEP	MAGNETISM	ENERGY	1ST_STD_ERROR	2ND_STD_ERROR
0	4982	-5007	0	0
1	4980	-5015	0	0
2	4978	-5017	0	0
3	4978	-5017	0	0
4	4978	-5017	0	0
5	4978	-5017	0	0
6	4978	-5017	0	0
7	4976	-5019	0	0
8	4976	-5019	0	0
9	4976	-5019	0	0
10	4974	-5023	0	0
11	4972	-5027	0	0
12	4972	-5027	0	0
13	4970	-5033	0	0
14	4968	-5039	0	0
15	4966	-5041	0	0
16	4964	-5043	0	0
17	4962	-5049	0	0
18	4962	-5049	0	0
19	4962	-5049	0	0
20	4960	-5051	0	0
21	4960	-5051	0	0
22	4958	-5057	0	0
23	4958	-5057	0	0
24	4956	-5059	0	0
25	4954	-5063	0	0
26	4952	-5067	0	0
27	4950	-5069	0	0
28	4950	-5069	0	0
29	4948	-5073	0	0
30	4946	-5079	0	0
31	4946	-5079	0	0
32	4946	-5079	0	0
33	4944	-5081	0	0
34	4944	-5081	0	0
35	4944	-5081	0	0
36	4942	-5087	0	0
37	4940	-5087	0	0
38	4938	-5091	0	0
39	4938	-5091	0	0
40	4938	-5091	0	0
41	4936	-5099	0	0
42	4934	-5101	0	0
43	4932	-5105	0	0
44	4932	-5105	0	0
45	4932	-5105	0	0
46	4932	-5105	0	0
47	4932	-5105	0	0
48	4930	-5109	0	0
49	4928	-5111	0	0
50	4928	-5111	0	0
51	4926	-5117	0	0
52	4924	-5119	0	0
53	4922	-5125	0	0
54	4922	-5125	0	0
55	4922	-5125	0	0
56	4920	-5127	0	0
57	4920	-5127	0	0
58	4918	-5131	0	0
59	4916	-5133	0	0
60	4914	-5137	0	0
61	4914	-5137	0	0
62	4912	-5141	0	0
63	4912	-5141	0	0
64	4912	-5141	0	0
65	4910	-5145	0	0
66	4908	-5151	0	0
67	4906	-5157	0	0
68	4904	-5163	0	0
69	4904	-5163	0	0
70	4902	-5163	0	0
71	4902	-5163	0	0
72	4900	-5171	0	0
73	4898	-5173	0	0
74	4898	-5173	0	0
75	4898	-5173	0	0
76	4898	-5173	0	0
77	4896	-5177	0	0
78	4896	-5177	0	0
79	4894	-5183	0	0
80	4892	-5189	0	0
81	4892	-5189	0	0
82	4892	-5189	0	0
83	4892	-5189	0	0
84	4890	-5193	0	0
85	4890	-5193	0	0
86	4888	-5195	0	0
87	4886	-5201	0	0
88	4884	-5209	0	0
89	4884	-5209	0	0
90	4884	-5209	0	0
91	4882	-5209	0	0
92	4880	-5211	0	0
93	4880	-5211	0	0
94	4878	-5217	0	0
95	4876	-5219	0	0
96	4874	-5225	0	0
97	4872	-5229	0	0
98	4870	-5233	0	0
99	4868	-5235	0	0
100	4866	-5239	0	0
101	4866	-5239	0	0
102	4864	-5247	0	0
103	4864	-5247	0	0
104	4862	-5255	0	0
105	4862	-5255	0	0
106	4860	-5259	0	0
107	4860	-5259	0	0
108	4860	-5259	0	0
109	4858	-5259	0	0
110	4856	-5267	0	0
111	4856	-5267	0	0
112	4856	-5267	0	0
113	4854	-5269	0	0
114	4854	-5269	0	0
115	4852	-5275	0	0
116	4852	-5275	0	0
117	4850	-5283	0	0
118	4850	-5283	0	0
119	4848	-5287	0	0
120	4848	-5287	0	0
121	4848	-5287	0	0
122	4848	-5287	0	0
123	4848	-5287	0	0
124	4846	-5289	0	0
125	4846	-5289	0	0
126	4846	-5289	0	0
127	4846	-5289	0	0
128	4846	-5289	0	0
129	4846	-5289	0	0
130	4846	-5289	0	0
131	4844	-5295	0	0
132	4844	-5295	0	0
133	4844	-5295	0	0
134	4844	-5295	0	0
135	4844	-5295	0	0
136	4844	-5295	0	0
137	4842	-5301	0	0
138	4842	-5301	0	0
139	4842	-5301	0	0
140	4842	-5301	0	0
141	4840	-5303	0	0
142	4840	-5303	0	0
143	4840	-5303	0	0
144	4840	-5303	0	0
145	4838	-5309	0	0
146	4836	-5313	0	0
147	4834	-5315	0	0
148	4834	-5315	0	0
149	4834	-5315	0	0
150	4834	-5315	0	0
151	4834	-5315	0	0
152	4834	-5315	0	0
153	4832	-5317	0	0
154	4830	-5323	0	0
155	4830	-5323	0	0
156	4828	-5327	0	0
157	4826	-5331	0	0
158	4824	-5337	0	0
159	4824	-5337	0	0
160	4822	-5343	0	0
161	4820	-5347	0	0
162	4818	-5349	0	0
163	4818	-5349	0	0
164	4818	-5349	0	0
165	4816	-5357	0	0
166	4814	-5365	0	0
167	4814	-5365	0	0
168	4814	-5365	0	0
169	4814	-5365	0	0
170	4812	-5371	0	0
171	4812	-5371	0	0
172	4810	-5373	0	0
173	4810	-5373	0	0
174	4808	-5377	0	0
175	4808	-5377	0	0
176	4808	-5377	0	0
177	4806	-5381	0	0
178	4806	-5381	0	0
179	4804	-5383	0	0
180	4802	-5387	0	0
181	4802	-5387	0	0
182	4802	-5387	0	0
183	4802	-5387	0	0
184	4802	-5387	0	0
185	4802	-5387	0	0
186	4800	-5389	0	0
187	4798	-5397	0	0
188	4796	-5401	0	0
189	4794	-5403	0	0
190	4794	-5403	0	0
191	4792	-5405	0	0
192	4792	-5405	0	0
193	4792	-5405	0	0
194	4792	-5405	0	0
195	4790	-5409	0	0
196	4790	-5409	0	0
197	4788	-5413	0	0
198	4786	-5417	0	0
199	4786	-5417	0	0
200	4786	-5417	0	0
201	4784	-5421	0	0
202	4782	-5423	0	0
203	4780	-5429	0	0
204	4780	-5429	0	0
205	4778	-5431	0	0
206	4778	-5431	0	0
207	4778	-5431	0	0
208	4778	-5431	0	0
209	4778	-5431	0	0
210	4776	-5435	0	0
211	4776	-5435	0	0
212	4774	-5437	0	0
213	4772	-5441	0	0
214	4772	-5441	0	0
215	4770	-5445	0	0
216	4770	-5445	0	0
217	4768	-5451	0	0
218	4766	-5453	0	0
219	4766	-5453	0	0
220	4764	-5455	0	0
221	4764	-5455	0	0
222	4762	-5457	0	0
223	4762	-5457	0	0
224	4760	-5459	0	0
225	4760	-5459	0	0
226	4760	-5459	0	0
227	4758	-5465	0	0
228	4758	-5465	0	0
229	4758	-5465	0	0
230	4756	-5469	0	0
231	4756	-5469	0	0
232	4754	-5471	0	0
233	4754	-5471	0	0
234	4754	-5471	0	0
235	4754	-5471	0	0
236	4752	-5473	0	0
237	4752	-5473	0	0
238	4752	-5473	0	0
239	4752	-5473	0	0
240	4752	-5473	0	0
241	4750	-5475	0	0
242	4748	-5479	0	0
243	4748	-5479	0	0
244	4748	-5479	0	0
245	4748	-5479	0	0
246	4748	-5479	0	0
247	4746	-5483	0	0
248	4746	-5483	0	0
249	4746	-5483	0	0
250	4744	-5487	0	0
251	4742	-5491	0	0
252	4742	-5491	0	0
253	4740	-5495	0	0
254	4740	-5495	0	0
255	4740	-5495	0	0
256	4738	-5497	0	0
257	4736	-5501	0	0
258	4736	-5501	0	0
259	4736	-5501	0	0
260	4734	-5509	0	0
261	4732	-5511	0	0
262	4730	-5515	0	0
263	4728	-5519	0	0
264	4726	-5523	0	0
265	4726	-5523	0	0
266	4724	-5529	0	0
267	4722	-5533	0	0
268	4722	-5533	0	0
269	4722	-5533	0	0
270	4722	-5533	0	0
271	4722	-5533	0	0
272	4720	-5537	0	0
273	4720	-5537	0	0
274	4718	-5539	0	0
275	4718	-5539	0	0
276	4718	-5539	0	0
277	4716	-5543	0	0
278	4716	-5543	0	0
279	4714	-5549	0	0
280	4714	-5549	0	0
281	4714	-5549	0	0
282	4712	-5555	0	0
283	4712	-5555	0	0
284	4712	-5555	0	0
285	4710	-5559	0	0
286	4710	-5559	0	0
287	4710	-5559	0	0
288	4710	-5559	0	0
289	4710	-5559	0	0
290	4710	-5559	0	0
291	4710	-5559	0	0
292	4710	-5559	0	0
293	4708	-5565	0	0
294	4708	-5565	0	0
295	4708	-5565	0	0
296	4708	-5565	0	0
297	4706	-5569	0	0
298	4706	-5569	0	0
299	4704	-5575	0	0
300	4702	-5577	0	0
301	4702	-5577	0	0
302	4700	-5583	0	0
303	4700	-5583	0	0
304	4698	-5587	0	0
305	4696	-5593	0	0
306	4694	-5597	0	0
307	4694	-5597	0	0
308	4694	-5597	0	0
309	4692	-5599	0	0
310	4690	-5599	0	0
311	4688	-5605	0	0
312	4686	-5607	0	0
313	4686	-5607	0	0
314	4686	-5607	0	0
315	4684	-5613	0	0
316	4684	-5613	0	0
317	4682	-5617	0	0
318	4680	-5623	0	0
319	4678	-5629	0	0
320	4676	-5631	0	0
321	4674	-5631	0	0
322	4672	-5635	0	0
323	4672	-5635	0	0
324	4672	-5635	0	0
325	4670	-5641	0	0
326	4668	-5645	0	0
327	4666	-5649	0	0
328	4666	-5649	0	0
329	4666	-5649	0	0
330	4666	-5649	0	0
331	4666	-5649	0	0
332	4666	-5649	0	0
333	4664	-5653	0	0
334	4664	-5653	0	0
335	4664	-5653	0	0
336	4664	-5653	0	0
337	4662	-5655	0	0
338	4662	-5655	0	0
339	4662	-5655	0	0
340	4660	-5663	0	0
341	4658	-5667	0	0
342	4656	-5669	0	0
343	4654	-5671	0	0
344	4652	-5675	0	0
345	4652	-5675	0	0
346	4650	-5677	0	0
347	4648	-5683	0	0
348	4646	-5689	0	0
349	4646	-5689	0	0
350	4646	-5689	0	0
351	4646	-5689	0	0
352	4646	-5689	0	0
353	4646	-5689	0	0
354	4644	-5697	0	0
355	4644	-5697	0	0
356	4644	-5697	0	0
357	4644	-5697	0	0
358	4644	-5697	0	0
359	4644	-5697	0	0
360	4644	-5697	0	0
361	4642	-5701	0	0
362	4640	-5703	0	0
363	4638	-5705	0	0
364	4638	-5705	0	0
365	4638	-5705	0	0
366	4638	-5705	0	0
367	4638	-5705	0	0
368	4638	-5705	0	0
369	4638	-5705	0	0
370	4636	-5711	0	0
371	4634	-5711	0	0
372	4634	-5711	0	0
373	4632	-5717	0	0
374	4632	-5717	0	0
375	4632	-5717	0	0
376	4632	-5717	0	0
377	4630	-5719	0	0
378	4628	-5723	0	0
379	4628	-5723	0	0
380	4628	-5723	0	0
381	4628	-5723	0	0
382	4626	-5725	0	0
383	4626	-5725	0	0
384	4624	-5731	0	0
385	4622	-5735	0	0
386	4620	-5743	0	0
387	4618	-5747	0	0
388	4618	-5747	0	0
389	4618	-5747	0	0
390	4616	-5749	0	0
391	4614	-5749	0	0
392	4612	-5753	0	0
393	4612	-5753	0	0
394	4612	-5753	0	0
395	4610	-5757	0	0
396	4608	-5757	0	0
397	4606	-5761	0	0
398	4604	-5769	0	0
399	4602	-5773	0	0
400	4602	-5773	0	0
401	4602	-5773	0	0
402	4602	-5773	0	0
403	4602	-5773	0	0
404	4602	-5773	0	0
405	4600	-5777	0	0
406	4600	-5777	0	0
407	4600	-5777	0	0
408	4600	-5777	0	0
409	4600	-5777	0	0
410	4598	-5779	0	0
411	4598	-5779	0	0
412	4598	-5779	0	0
413	4598	-5779	0	0
414	4598	-5779	0	0
415	4598	-5779	0	0
416	4596	-5787	0	0
