Simulated by ISING, VERSION 1
filename = new_result
step = 10000
mutual_coefficient = 1
temperature = 1
STEP	MAGNETISM	ENERGY	1ST_STD_ERROR	2ND_STD_ERROR
208	4783	-5364	0	0
209	4781	-5368	0	0
210	4779	-5374	0	0
211	4779	-5374	0	0
212	4777	-5380	0	0
213	4775	-5382	0	0
214	4775	-5382	0	0
215	4773	-5388	0	0
216	4771	-5394	0	0
217	4769	-5400	0	0
218	4767	-5404	0	0
219	4767	-5404	0	0
220	4767	-5404	0	0
221	4767	-5404	0	0
222	4765	-5410	0	0
223	4765	-5410	0	0
224	4765	-5410	0	0
225	4763	-5414	0	0
226	4761	-5414	0	0
227	4761	-5414	0	0
228	4761	-5414	0	0
229	4761	-5414	0	0
230	4759	-5414	0	0
231	4757	-5418	0	0
232	4757	-5418	0	0
233	4755	-5424	0	0
234	4755	-5424	0	0
235	4755	-5424	0	0
236	4755	-5424	0	0
237	4753	-5430	0	0
238	4753	-5430	0	0
239	4753	-5430	0	0
240	4753	-5430	0	0
241	4751	-5434	0	0
242	4751	-5434	0	0
243	4749	-5438	0	0
244	4747	-5438	0	0
245	4745	-5444	0	0
246	4743	-5450	0	0
247	4743	-5450	0	0
248	4743	-5450	0	0
249	4743	-5450	0	0
250	4743	-5450	0	0
251	4743	-5450	0	0
252	4741	-5454	0	0
253	4741	-5454	0	0
254	4739	-5454	0	0
255	4737	-5458	0	0
256	4735	-5464	0	0
257	4735	-5464	0	0
258	4733	-5466	0	0
259	4733	-5466	0	0
260	4731	-5468	0	0
261	4731	-5468	0	0
262	4729	-5472	0	0
263	4729	-5472	0	0
264	4729	-5472	0	0
265	4729	-5472	0	0
266	4727	-5472	0	0
267	4727	-5472	0	0
268	4727	-5472	0	0
269	4725	-5478	0	0
270	4725	-5478	0	0
271	4725	-5478	0	0
272	4725	-5478	0	0
273	4723	-5482	0	0
274	4723	-5482	0	0
275	4721	-5486	0	0
276	4721	-5486	0	0
277	4721	-5486	0	0
278	4721	-5486	0	0
279	4719	-5488	0	0
280	4719	-5488	0	0
281	4719	-5488	0	0
282	4717	-5494	0	0
283	4717	-5494	0	0
284	4717	-5494	0	0
285	4715	-5498	0	0
286	4715	-5498	0	0
287	4715	-5498	0	0
288	4713	-5504	0	0
289	4713	-5504	0	0
290	4711	-5510	0	0
291	4711	-5510	0	0
292	4709	-5512	0	0
293	4709	-5512	0	0
294	4707	-5516	0	0
295	4707	-5516	0	0
296	4707	-5516	0	0
297	4707	-5516	0	0
298	4707	-5516	0	0
299	4707	-5516	0	0
300	4707	-5516	0	0
301	4705	-5520	0	0
302	4703	-5520	0	0
303	4701	-5522	0	0
304	4701	-5522	0	0
305	4699	-5524	0	0
306	4699	-5524	0	0
307	4699	-5524	0	0
308	4697	-5530	0	0
309	4695	-5534	0	0
310	4693	-5538	0	0
311	4691	-5540	0	0
312	4689	-5546	0	0
313	4687	-5550	0	0
314	4687	-5550	0	0
315	4685	-5556	0	0
316	4683	-5558	0	0
317	4683	-5558	0	0
318	4683	-5558	0	0
319	4683	-5558	0	0
320	4681	-5560	0	0
321	4681	-5560	0	0
322	4681	-5560	0	0
323	4681	-5560	0	0
324	4679	-5566	0	0
325	4677	-5574	0	0
326	4677	-5574	0	0
327	4677	-5574	0	0
328	4677	-5574	0	0
329	4677	-5574	0	0
330	4677	-5574	0	0
331	4677	-5574	0	0
332	4675	-5578	0	0
333	4675	-5578	0	0
334	4673	-5582	0	0
335	4673	-5582	0	0
336	4673	-5582	0	0
337	4673	-5582	0	0
338	4673	-5582	0	0
339	4673	-5582	0	0
340	4671	-5588	0	0
341	4669	-5592	0	0
342	4667	-5596	0	0
343	4667	-5596	0	0
344	4667	-5596	0	0
345	4665	-5602	0	0
346	4665	-5602	0	0
347	4665	-5602	0	0
348	4665	-5602	0	0
349	4663	-5604	0	0
350	4663	-5604	0	0
351	4661	-5608	0	0
352	4661	-5608	0	0
353	4659	-5612	0	0
354	4659	-5612	0	0
355	4659	-5612	0	0
356	4657	-5614	0	0
357	4657	-5614	0	0
358	4655	-5616	0	0
359	4655	-5616	0	0
360	4653	-5622	0	0
361	4653	-5622	0	0
362	4653	-5622	0	0
363	4653	-5622	0	0
364	4653	-5622	0	0
365	4653	-5622	0	0
366	4653	-5622	0	0
367	4653	-5622	0	0
368	4653	-5622	0	0
369	4653	-5622	0	0
370	4653	-5622	0	0
371	4651	-5626	0	0
372	4651	-5626	0	0
373	4651	-5626	0	0
