20000 simulations, 1000 steps.
Step	 DIST^2 
208	104.528495
209	104.920010
210	105.342859
211	105.730324
212	106.254045
213	106.781218
214	107.307736
215	107.877039
216	108.445703
217	109.035494
218	109.579116
219	109.944496
220	110.440494
221	111.014850
222	111.390621
223	111.921008
224	112.417814
225	112.947990
226	113.438058
227	113.901471
228	114.476439
229	115.036126
230	115.553297
231	116.149491
232	116.559163
233	116.959463
234	117.438348
235	118.062770
236	118.757440
237	119.170650
238	119.694043
239	120.242820
240	120.739186
241	121.298351
242	121.771336
243	122.214310
244	122.775931
245	123.217036
246	123.656251
247	124.092019
248	124.626695
249	125.240678
250	125.802580
251	126.452109
252	126.854983
253	127.295571
254	127.738636
255	128.090987
256	128.674152
257	129.114318
258	129.629784
259	130.278091
260	131.038754
261	131.556259
262	132.146100
263	132.629308
264	133.111810
265	133.642026
266	134.151698
267	134.692539
268	135.224990
269	135.792372
270	136.298795
271	136.776992
272	137.163757
273	137.852438
274	138.157303
275	138.837732
276	139.374797
277	140.024738
278	140.551486
279	141.105290
280	141.519310
281	142.028772
282	142.616969
283	142.972300
284	143.394393
285	144.044170
286	144.513956
287	145.063378
288	145.490509
289	145.848052
290	146.490779
291	146.933215
292	147.442676
293	147.931634
294	148.404708
295	148.901251
296	149.424951
297	149.895407
298	150.335407
299	150.832284
300	151.247442
301	151.805569
302	152.578954
303	153.192724
304	153.741407
305	154.296470
306	154.886343
307	155.604928
308	155.955618
309	156.576073
310	157.091051
311	157.521527
312	158.111715
313	158.578063
314	159.028108
315	159.525480
316	160.053906
317	160.454882
318	161.007147
319	161.480221
320	161.946468
321	162.475240
322	162.809888
323	163.249790
324	163.804746
325	164.377606
326	164.915706
327	165.525019
328	166.045427
329	166.632861
330	167.048710
331	167.457831
332	167.817428
333	168.421742
334	168.947798
335	169.496287
336	169.883271
337	170.510461
338	171.182415
339	171.597001
340	172.061784
341	172.451530
342	172.973097
343	173.256821
344	173.795889
345	174.347819
346	174.801283
347	175.362777
348	175.856572
349	176.346448
350	176.943346
351	177.471180
352	178.081706
353	178.568094
354	178.906864
355	179.339466
356	179.846300
357	180.446111
358	180.951084
359	181.345220
360	181.904411
361	182.474067
362	182.860770
363	183.389862
364	183.967286
365	184.393978
366	184.948719
367	185.482820
368	186.114178
369	186.486245
370	187.105746
371	187.703227
372	188.265385
373	188.861114
374	189.397022
375	189.866431
376	190.350936
377	190.888040
378	191.624556
379	192.119187
380	192.623756
381	193.126184
382	193.722547
383	194.188132
384	194.780773
385	195.371947
386	195.849894
387	196.381032
388	196.834662
389	197.442017
390	197.974210
391	198.560484
392	199.171711
393	199.763700
394	200.441767
395	200.914086
396	201.409176
397	201.859076
398	202.451740
399	203.059642
400	203.607857
401	203.974612
402	204.380288
403	204.929432
404	205.609314
405	206.127565
406	206.700897
407	207.282254
408	207.818018
409	208.286055
410	208.713665
411	209.191073
412	209.770008
413	210.257076
414	210.820683
415	211.185955
416	211.921006
417	212.264485
418	212.720526
419	213.259389
420	213.596194
421	214.170174
422	214.621770
423	215.234581
424	215.648559
425	216.131479
426	216.758632
427	217.337041
428	217.868071
429	218.403860
430	218.855294
431	219.211822
432	219.712396
433	220.351324
434	221.026381
435	221.433467
436	221.985049
437	222.409159
438	222.653830
439	223.065823
440	223.769814
441	224.241278
442	224.747329
443	225.151217
444	225.773503
445	226.365181
446	226.820477
447	227.343861
448	228.119506
449	228.731067
450	229.340098
451	229.770665
452	230.236914
453	230.650035
454	231.038329
455	231.715651
456	232.273918
457	232.805034
458	233.424056
459	233.913569
460	234.379911
461	234.976047
462	235.456315
463	235.883440
464	236.391024
465	236.858176
466	237.243889
467	237.745711
468	238.072495
469	238.451894
470	238.936941
471	239.400988
472	239.909382
473	240.446877
474	240.955499
475	241.311154
476	241.978361
477	242.445603
478	243.102986
479	243.555977
480	244.104238
481	244.565123
482	244.877535
483	245.368583
484	245.891910
485	246.546456
486	247.055829
487	247.456199
488	248.065180
489	248.548773
490	248.990020
491	249.597138
492	249.867386
493	250.325864
494	250.922069
495	251.263862
496	251.857671
497	252.343311
498	253.000439
499	253.351255
500	253.799997
501	254.282134
502	254.761980
503	255.393506
504	255.710789
505	256.180792
506	256.624968
507	257.122765
508	257.551102
509	258.281147
510	258.828101
511	259.335334
512	259.710660
513	260.100650
514	260.660660
515	261.243950
516	261.795653
517	262.284845
518	263.038761
519	263.563968
520	264.266878
521	264.742221
522	265.281260
523	265.885620
524	266.506725
525	267.275316
526	267.922557
527	268.291852
528	268.704609
529	269.193077
530	269.650309
531	270.001170
532	270.512524
533	271.112261
534	271.486725
535	272.085793
536	272.534466
537	273.018018
538	273.621017
539	274.228563
540	274.802800
541	275.405785
542	275.992885
543	276.412901
544	276.884693
545	277.532142
546	278.113910
547	278.708917
548	279.240301
549	279.596818
550	280.129785
551	280.545249
552	281.073665
553	281.458470
554	282.045649
555	282.615786
556	283.139005
557	283.783821
558	284.447311
559	284.969397
560	285.398736
561	285.668805
562	286.270461
563	286.712448
564	287.281586
565	287.632413
566	288.043251
567	288.549359
568	289.074647
569	289.426372
570	289.826469
571	290.175818
572	290.637287
573	291.247469
574	291.798616
575	292.461051
576	292.952160
577	293.289290
578	293.838215
579	293.987674
580	294.501112
581	294.981602
582	295.383727
583	295.939010
584	296.335818
585	296.934691
586	297.499687
587	297.817484
588	298.397264
589	298.614603
590	299.140568
591	299.705063
592	300.160154
593	300.722185
594	301.092959
595	301.317791
596	301.666807
597	302.195889
598	302.613962
599	303.023981
600	303.588818
601	304.212569
602	304.594906
603	305.097495
604	305.536216
605	306.109082
606	306.582046
607	307.038708
608	307.603684
609	307.944158
610	308.692381
611	309.247410
612	309.930712
613	310.493198
614	311.049036
615	311.650884
616	312.181274
617	312.759490
618	313.039058
619	313.637898
620	314.126025
621	314.446612
622	314.678956
623	315.402686
624	316.022475
625	316.580780
626	317.172536
627	317.799457
628	318.388425
629	319.106988
630	319.597709
631	319.991670
632	320.505595
633	321.181202
634	321.552010
635	321.837696
636	322.351199
637	322.789715
638	323.187595
639	323.738560
640	324.290470
641	324.775986
642	325.182034
643	325.390963
644	326.063364
645	326.498651
646	327.096022
647	327.620518
648	327.942972
649	328.469252
650	329.010438
651	329.715962
652	330.487300
653	331.128047
654	331.704848
655	332.060902
656	332.645459
657	333.199971
658	333.554325
659	333.978303
660	334.618108
661	335.178196
662	335.597482
663	336.187152
664	336.861617
665	337.293268
666	337.552675
667	337.827164
668	338.087758
669	338.647602
670	339.110561
671	339.607412
672	340.067763
673	340.732583
674	340.967871
675	341.364745
676	341.809595
677	342.285652
678	342.898148
679	343.297823
680	343.961501
681	344.503445
682	344.836338
683	345.530255
684	345.880706
685	346.602057
686	347.128183
687	347.380343
688	347.874100
689	348.091192
690	348.609673
691	349.130415
692	349.906112
693	350.570475
694	350.888679
695	351.520920
696	352.155578
697	352.640777
698	353.425685
699	353.875601
700	354.537286
701	355.137100
702	355.555830
703	355.996339
704	356.240782
705	356.637041
706	357.023675
707	357.808116
708	358.291452
709	359.009121
710	359.361567
711	359.855911
712	360.225667
713	360.862463
714	361.659474
715	362.136608
716	362.829161
717	363.184412
718	363.822463
719	364.228611
720	364.510444
721	364.929906
722	365.363622
723	365.879352
724	366.520028
725	367.026096
726	367.699207
727	368.174751
728	368.853601
729	369.478118
730	369.654723
731	370.273285
732	370.865179
733	371.446664
734	372.002074
735	372.732612
736	373.501209
737	374.019654
738	374.493930
739	375.077574
740	375.649908
741	376.037275
742	376.444731
743	377.000220
744	377.710135
745	378.074867
746	378.806784
747	379.354160
748	379.872681
749	380.357415
750	381.050249
751	381.805817
752	382.576603
753	382.930304
754	383.379962
755	383.839168
756	384.327800
757	384.472006
758	384.991343
759	385.640995
760	386.052888
761	386.759712
762	387.371630
763	387.966524
764	388.424063
765	388.896485
766	389.229516
767	389.679390
768	390.273515
769	390.794985
770	391.173568
771	391.789331
772	392.146830
773	392.770571
774	393.169723
775	393.590481
776	393.950230
777	394.562113
778	395.293079
779	395.694040
780	396.426476
781	396.904000
782	397.550646
783	397.989344
784	398.426123
785	398.958300
786	399.279455
787	399.793955
788	400.454230
789	401.069190
790	401.724585
791	402.381678
792	402.846924
793	403.061483
794	403.262047
795	403.817681
796	404.378413
797	404.768879
798	405.455134
799	405.828688
800	406.248638
801	406.595804
802	407.261254
803	407.845185
804	408.442212
805	408.839394
806	409.218114
807	409.521093
808	410.116423
809	410.493791
810	410.797798
811	411.414941
812	412.139475
813	412.691463
814	413.145974
815	413.722016
816	414.204824
817	414.587478
818	415.211947
819	415.738299
820	416.495684
821	417.009595
822	417.523743
823	418.119590
824	418.430505
825	418.953411
826	419.466003
827	420.081006
828	420.642977
829	421.386316
830	421.994435
831	422.705824
832	423.220883
833	423.831544
834	424.309845
835	424.823093
836	425.319330
837	425.720068
838	426.185929
839	426.710033
840	427.153459
841	427.619268
842	428.219032
843	428.748786
844	429.177821
845	429.899520
846	430.048472
847	430.640784
848	430.949946
849	431.611540
850	432.134609
851	432.714799
852	433.091675
853	433.375051
854	433.676070
855	434.169865
856	434.806439
857	435.105918
858	435.863002
859	436.225957
860	436.408702
861	436.898021
862	437.584293
863	438.099311
864	438.542777
865	439.062293
866	439.585181
867	440.285924
868	440.942376
869	441.196900
870	441.893731
871	442.389105
872	442.693593
873	443.170574
874	443.509915
875	444.065486
876	444.631575
877	445.051552
878	445.610563
879	445.968662
880	446.570046
881	447.020109
882	447.707919
883	448.138576
884	448.512446
885	449.121487
886	449.543664
887	449.972881
888	450.504946
889	450.840377
890	451.462421
891	451.723393
892	452.075917
893	452.660508
894	453.325263
895	453.646220
896	454.143546
897	454.522435
898	455.239958
899	455.977728
900	456.403514
901	456.872935
902	457.598476
903	458.157496
904	458.505874
905	459.190376
906	459.645939
907	460.067146
908	460.508378
909	461.111716
910	461.382020
911	461.973081
912	462.541137
913	463.209468
914	463.832934
915	464.345524
916	464.835616
917	465.477923
918	466.026662
919	466.627547
920	466.970851
921	467.442673
922	467.973893
923	468.452368
924	469.115441
925	469.871892
926	470.317487
927	470.780138
928	471.146096
929	471.686634
930	472.058213
931	472.676482
932	473.095003
933	473.598117
934	474.217267
935	474.970432
936	475.379153
937	475.856379
938	476.335773
939	477.114552
940	478.027758
941	478.688749
942	479.193260
943	479.311042
944	479.727917
945	480.454911
946	481.001511
947	481.426749
948	482.109632
949	482.420934
950	482.747926
951	483.296937
952	483.798788
953	484.304110
954	484.896369
955	485.447180
956	485.624265
957	486.336549
958	486.665158
959	487.098766
960	487.519579
961	487.865369
962	488.561169
963	489.120835
964	489.820796
965	490.569047
966	491.057006
967	491.711908
968	492.173794
969	492.459950
970	492.856026
971	493.110824
972	493.683731
973	494.177644
974	494.572545
975	495.353991
976	495.917074
977	496.529497
978	497.082975
979	497.620895
980	498.313565
981	498.432296
982	499.151762
983	499.548302
984	500.294753
985	500.582524
986	501.193032
987	501.652213
988	502.091184
989	502.834846
990	503.326709
991	504.023482
992	504.468662
993	505.009227
994	505.637504
995	505.931016
996	506.341889
997	506.896043
998	507.188962
999	507.712083
